Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb,is_installed
deepseek-coder:1.3b-instruct-q3_K_S,659MB,16K,Text,4c1eaf4c63f8,2 years ago,deepseek\deepseek-coder.csv,0.6435546875,False
granite3.1-moe:1b-base-q3_K_M,659MB,128K,Text,0e2f7fc14512,1 year ago,ibm\granite3.1-moe.csv,0.6435546875,False
granite3-moe:1b-instruct-q3_K_M,659MB,4K,Text,ee08f6aba672,1 year ago,ibm\granite3-moe.csv,0.6435546875,False
granite3.1-moe:1b-instruct-q3_K_M,659MB,128K,Text,9c633a5e3790,1 year ago,ibm\granite3.1-moe.csv,0.6435546875,False
granite3-moe:1b-instruct-q3_K_M,659MB,4K,Text,ea6a79b9b3cc,1 year ago,granite\granite3-moe.csv,0.6435546875,False
deepseek-coder:1.3b-base-q3_K_S,659MB,16K,Text,3a3c3bc11d11,2 years ago,deepseek\deepseek-coder.csv,0.6435546875,False
qwen:0.5b-chat-v1.5-q8_0,665MB,32K,Text,38781999773b,2 years ago,qwen\qwen.csv,0.6494140625,False
qwen:0.5b-text-v1.5-q8_0,665MB,32K,Text,c92fe3f525ea,2 years ago,qwen\qwen.csv,0.6494140625,False
llama-guard3:1b-q2_K,667MB,128K,Text,4f4a8f765204,1 year ago,llama\llama-guard3.csv,0.6513671875,False
granite3.1-moe:1b-instruct-q3_K_M,671MB,128K,Text,a9921af691fb,1 year ago,granite\granite3.1-moe.csv,0.6552734375,False
qwen2.5:1.5b-instruct-q2_K,676MB,32K,Text,c239521b8b51,1 year ago,qwen\qwen2.5.csv,0.66015625,False
qwen2.5-coder:1.5b-instruct-q2_K,676MB,32K,Text,5008a5a67b13,1 year ago,qwen\qwen2.5-coder.csv,0.66015625,False
granite3-moe:1b-base-q3_K_M,680MB,4K,Text,30c6e9bd419c,1 year ago,ibm\granite3-moe.csv,0.6640625,False
granite4:350m-h-base-f16,685MB,1M,Text,ab2c68ebd903,10 months ago,ibm\granite4.csv,0.6689453125,False
granite4:350m-h-base-bf16,685MB,1M,Text,d0e2a7befca8,10 months ago,ibm\granite4.csv,0.6689453125,False
granite4:350m-h-f16,685MB,1M,Text,ee5b4752df5b,10 months ago,ibm\granite4.csv,0.6689453125,False
granite4:350m-h-bf16,685MB,1M,Text,c0e597002a17,10 months ago,ibm\granite4.csv,0.6689453125,False
llama3.2:1b-text-q3_K_M,691MB,128K,Text,3bbcd4bb53ad,1 year ago,llama\llama3.2.csv,0.6748046875,False
llama3.2:1b-instruct-q3_K_M,691MB,128K,Text,8459ea7be88f,1 year ago,llama\llama3.2.csv,0.6748046875,False
granite4:1b-h-base-q3_K_S,695MB,1M,Text,04d1bd28c0d1,10 months ago,ibm\granite4.csv,0.6787109375,False
granite4:1b-h-q3_K_S,695MB,1M,Text,f691cbdffe22,10 months ago,ibm\granite4.csv,0.6787109375,False
granite4:1b-base-q2_K,702MB,128K,Text,058f7f8a5050,10 months ago,ibm\granite4.csv,0.685546875,False
granite4:1b-q2_K,702MB,128K,Text,fa4051ba3820,10 months ago,ibm\granite4.csv,0.685546875,False
